fetch_utc	label	lp_http	lp_calllimit_remaining	sb_calllimit_remaining	lp_bytes	lp_etag	lp_status	lp_period	lp_clock	lp_possession	lp_down	lp_distance	lp_yardsToGoal	lp_plays	lp_last_play	lp_last_clock	lp_last_wallClock	sb_status	sb_period	sb_clock	sb_possession	sb_situation	sb_lastPlay	sb_score_away_home
20260925T002052Z	r01	200	74794	74795	20673	W/"50c1-SKNdzTjM4yago+vm+A/7Mys5/no"	In Progress	1	3:05	Liberty	1	10	49	39	Kickoff	3:05	2026-09-25T00:16:35.000Z	in_progress	1	03:05	None	None	(C. Reeves KICK)	10-3
20260925T002056Z	r02-inm	304	74793	74794	0	W/"50c1-SKNdzTjM4yago+vm+A/7Mys5/no"	(304, no body)											in_progress	1	03:05	None	None	(C. Reeves KICK)	10-3
20260925T002814Z	r03	200	74792	74793	20673	W/"50c1-SKNdzTjM4yago+vm+A/7Mys5/no"	In Progress	1	3:05	Liberty	1	10	49	39	Kickoff	3:05	2026-09-25T00:16:35.000Z	in_progress	1	03:05	None	None	(C. Reeves KICK)	10-3
20260925T003514Z	r04	200	74791	74792	23806	W/"5cfe-6J/7f17njMJRNcYalrfYAnEOH7k"	In Progress	1	0:45	Coastal Carolina	4	7	35	46	Rush	0:45	2026-09-25T00:34:29.000Z	in_progress	1	01:31	home	2nd & 15 at LIB 43	(01:42) Shotgun #2 D.Bailey pass incomplete short left to #1 R.Washington thrown to LIB40 	10-3
20260925T004215Z	r05	200	74790	74791	25727	W/"647f-t2aLVgY6JdSZ51wA/GqfVYthdAQ"	End of Period	1	0:00	Liberty	2	10	76	50	End Period	0:00	2026-09-25T00:37:48.000Z	in_progress	1	00:00	away	2nd & 10 at LIB 24	End of 1st quarter.	10-3
20260925T004915Z	r06	200	74789	74790	29323	W/"728b-ceYCUHLNJ/8+72lHBkxQS1tTMc0"	In Progress	2	11:00	Liberty	0	1	44	58	Timeout	11:00	2026-09-25T00:46:54.000Z	in_progress	2	11:00	None	None	Timeout Liberty, clock 11:00	10-3
20260925T005215Z	pairA1	200	74788	74789	29768	W/"7448-urXQ2J7L8amm9+cYS2kk8BKTNjc"	In Progress	2	10:50	Liberty	4	9	52	59	Sack	10:49	2026-09-25T00:50:45.000Z	in_progress	2	10:58	None	None	Timeout Liberty, clock 11:00	10-3
20260925T005255Z	pairA2	200	74787	74788	30285	W/"764d-yDYdwR1PS4BwEiHdlDmVb4mbqmA"	In Progress	2	10:27	Liberty	2	7	31	60	Rush	10:27	2026-09-25T00:52:07.000Z	in_progress	2	10:50	away	4th & 9 at LIB 48	(10:58) No Huddle-Shotgun #5 D.Purdie sacked for loss of 8 yards to the LIB48 (#11 B.Starn	10-3
20260925T005336Z	pairA3	200	74786	74787	30777	W/"7839-oGI7zJlxhK56HpseVGnxMCOkwHg"	In Progress	2	9:54	Liberty	1	10	23	61	Pass Reception	9:54	2026-09-25T00:52:41.000Z	in_progress	2	10:50	away	4th & 9 at LIB 48	(10:58) No Huddle-Shotgun #5 D.Purdie sacked for loss of 8 yards to the LIB48 (#11 B.Starn	10-3
20260925T005616Z	r07	200	74785	74786	30876	W/"789c-V93PLAYcMnmSiPS8TvxRx6A1gtc"	In Progress	2	9:42	Liberty	1	10	11	61	Pass Reception	9:54	2026-09-25T00:52:41.000Z	in_progress	2	09:54	away	1st & 10 at CCU 23	(09:57) No Huddle-Shotgun #5 D.Purdie pass complete short right to #88 Z.Wimbush caught at	10-3
20260925T011412Z	r08	200	74784	74785	41138	W/"a0b2-hSY5YR8jXFgTr5aJlvCnrCHmpro"	In Progress	2	2:00	Liberty	0	10	18	82	Timeout	2:00	2026-09-25T01:13:02.000Z	in_progress	2	02:00	None	None	Timeout Liberty, clock 02:00	10-10
20260925T012112Z	r09	200	74783	74784	43049	W/"a829-SpUsp6uxLck03xZUL8ujE7/5nLs"	In Progress	2	1:32	Liberty	1	10	80	86	Punt	1:32	2026-09-25T01:20:40.000Z	in_progress	2	01:33	away	4th & 26 at CCU 34	(01:41) No Huddle-Shotgun #5 D.Purdie sacked for loss of 8 yards to the CCU34 (#1 I.Diawar	10-10
20260925T012813Z	r10	200	74782	74783	46055	W/"b3e7-S/eEJhvFLkwyvWXghls33pzy4wo"	In Progress	2	0:44	Coastal Carolina	0	3	45	92	Timeout	0:42	2026-09-25T01:27:25.000Z	in_progress	2	00:50	home	3rd & 3 at LIB 45	(00:55) Shotgun #2 D.Bailey pass complete short middle to #8 C.Coppock caught at LIB46, fo	10-10
